date,open,high,low,close,volume
2017-08-09,23.4577,23.6138,23.3751,23.6046,29670988
2017-08-10,23.6046,23.6046,23.2006,23.2282,29678945
2017-08-11,23.32,23.3659,23.1272,23.1364,19217278
2017-08-14,23.2098,23.4577,23.1823,23.2833,24292077
2017-08-15,23.1455,23.2465,23.0446,23.0813,27334936
2017-08-16,23.0629,23.1823,22.9986,23.0446,27473822
2017-08-17,23.017,23.0446,22.6957,22.7232,31221726
2017-08-18,22.613,22.714,22.4386,22.5396,34273076
2017-08-21,22.4845,22.5809,22.3284,22.4845,46055015
2017-08-22,22.558,22.714,22.4773,22.5855,29969104
2017-08-23,22.512,22.5488,22.3422,22.3927,34533588
2017-08-24,22.4294,22.5304,22.3101,22.3101,25547869
2017-08-25,22.3927,22.5855,22.356,22.4845,22867795
2017-08-28,22.5212,22.6465,22.356,22.4661,23937590
2017-08-29,22.3376,22.457,22.2917,22.4386,23910062
2017-08-30,22.4845,22.4845,22.1723,22.2917,33875996
2017-08-31,22.4111,22.6773,22.2917,22.5396,55284334
2017-09-01,22.5855,23.2282,22.4845,23.0813,58848107
2017-09-05,23.0078,23.0078,22.5591,22.7324,46852663
2017-09-06,22.8517,22.9711,22.7875,22.8793,55024972
2017-09-07,22.5029,22.5396,21.8786,22.053,80108579
2017-09-08,21.9887,22.0346,21.649,21.8694,44604454
2017-09-11,21.851,21.9336,21.6857,21.7776,43306557
2017-09-12,21.8694,21.952,21.7684,21.952,49662623
2017-09-13,21.9704,22.1999,21.9612,22.1356,38629676
2017-09-14,22.1264,22.2825,21.9795,22.2733,42084528
2017-09-15,22.3475,22.4124,22.023,22.1899,66559977
2017-09-18,22.2177,22.7648,22.1899,22.6813,52504484
2017-09-19,22.6813,22.6906,22.2687,22.4403,45340484
2017-09-20,22.4403,22.635,22.431,22.5515,39770268
2017-09-21,22.5608,23.0337,22.4124,22.9503,52115545
2017-09-22,23.0337,23.2191,22.9688,23.0615,39717546
2017-09-25,23.1079,23.349,23.0439,23.2841,42487988
2017-09-26,23.3212,23.3768,23.1079,23.1172,40753220
2017-09-27,23.1821,23.2284,22.5144,22.5979,56488971
2017-09-28,22.6164,22.6721,22.4032,22.4773,36154413
2017-09-29,22.4588,22.5237,22.2641,22.4217,33673712
2017-10-02,22.4588,22.8204,22.3475,22.7833,42501167
2017-10-03,22.8204,23.0244,22.5608,22.9966,33907539
2017-10-04,23.0708,23.0801,22.6535,22.6999,32149416
2017-10-05,22.6164,22.7833,22.3939,22.7555,34758948
2017-10-06,22.635,22.7555,22.3753,22.6164,40729835
2017-10-09,22.3475,22.3939,21.5593,21.7262,140302771
2017-10-10,21.9766,22.1206,21.6242,21.6613,80571106
2017-10-11,21.4481,21.5779,21.2348,21.3924,81172916
2017-10-12,21.3739,21.411,21.1699,21.3739,59948728
2017-10-13,21.4666,21.5408,21.2904,21.309,40391802
2017-10-16,21.3182,21.7726,21.2626,21.6613,49757813
2017-10-17,21.5315,21.5593,21.3275,21.5037,58639089
2017-10-18,21.513,21.5872,21.3924,21.4388,34970681
2017-10-19,21.4573,22.0508,21.3739,21.8653,75574053
